,patient_id,EGFR_PROTEIN,EGFR_RNA,EGFR_activity_mean,cohort_x,batch_domain_x,phospho_Y1016,phospho_Y1069,phospho_Y1092,phospho_Y1110,phospho_Y1172,EGFR_expression_score,mutation_x,egfr_hotspot_label_x,is_egfr_hotspot_x,ligand,protein,binding_type,median_binding_nM,median_p_binding,n_measurements,standard_units,pref_name,canonical_smiles,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,RingCount,HeavyAtomCount,mutation_binding_context,protein_ligand_pair,mutation_y,EGFR_type,cohort_y,batch_domain_y,gene,egfr_hotspot_label_y,is_egfr_hotspot_y,mutation_class,is_nonsynonymous,has_exon19del,has_L858R,has_L861Q,has_G719X,has_exon20_alteration,has_other_mutation,mutation_count,is_compound_mutation,binding_type_IC50,binding_type_KD,drug_erlotinib hydrochloride,drug_imatinib
10,C3L-00083,25.0415832172602,10.94,1,CPTAC,CPTAC,13.072192414390653,12.6046447755037,17.767914942942703,10.583122355255949,18.86502063329012,17.99546391996231,unknown,other,0.0,CHEMBL941,CHEMBL203,IC50,50000.055,6.979303657420888,2,nM,imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,493.6150000000002,4.590320000000004,86.28000000000002,2,7,7,5,37,other_IC50,CHEMBL203_CHEMBL941,,,,,,,,,,,,,,,,,,1,0,0,1
11,C3L-00083,25.0415832172602,10.94,1,CPTAC,CPTAC,13.072192414390653,12.6046447755037,17.767914942942703,10.583122355255949,18.86502063329012,17.99546391996231,unknown,other,0.0,CHEMBL941,CHEMBL203,KD,10000.0,5.0,23,nM,imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,493.6150000000002,4.590320000000004,86.28000000000002,2,7,7,5,37,other_KD,CHEMBL203_CHEMBL941,,,,,,,,,,,,,,,,,,0,1,0,1
12,C3L-00093,24.4695108198644,12.78,1,CPTAC,CPTAC,13.072192414390653,12.6046447755037,17.767914942942703,10.583122355255949,18.86502063329012,17.99546391996231,unknown,other,0.0,CHEMBL1079742,CHEMBL203,IC50,42.5,7.489405350465031,4,nM,erlotinib hydrochloride,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1.Cl,429.90400000000017,3.8269000000000033,74.73000000000002,1,7,10,3,30,other_IC50,CHEMBL203_CHEMBL1079742,,,,,,,,,,,,,,,,,,1,0,1,0
13,C3L-00093,24.4695108198644,12.78,1,CPTAC,CPTAC,13.072192414390653,12.6046447755037,17.767914942942703,10.583122355255949,18.86502063329012,17.99546391996231,unknown,other,0.0,CHEMBL941,CHEMBL203,IC50,50000.055,6.979303657420888,2,nM,imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,493.6150000000002,4.590320000000004,86.28000000000002,2,7,7,5,37,other_IC50,CHEMBL203_CHEMBL941,,,,,,,,,,,,,,,,,,1,0,0,1
14,C3L-00093,24.4695108198644,12.78,1,CPTAC,CPTAC,13.072192414390653,12.6046447755037,17.767914942942703,10.583122355255949,18.86502063329012,17.99546391996231,unknown,other,0.0,CHEMBL941,CHEMBL203,KD,10000.0,5.0,23,nM,imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,493.6150000000002,4.590320000000004,86.28000000000002,2,7,7,5,37,other_KD,CHEMBL203_CHEMBL941,,,,,,,,,,,,,,,,,,0,1,0,1
15,C3L-00094,24.7383165786791,12.28,1,CPTAC,CPTAC,13.072192414390653,12.6046447755037,17.767914942942703,10.583122355255949,18.86502063329012,17.99546391996231,unknown,other,0.0,CHEMBL1079742,CHEMBL203,IC50,42.5,7.489405350465031,4,nM,erlotinib hydrochloride,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1.Cl,429.90400000000017,3.8269000000000033,74.73000000000002,1,7,10,3,30,other_IC50,CHEMBL203_CHEMBL1079742,,,,,,,,,,,,,,,,,,1,0,1,0
16,C3L-00094,24.7383165786791,12.28,1,CPTAC,CPTAC,13.072192414390653,12.6046447755037,17.767914942942703,10.583122355255949,18.86502063329012,17.99546391996231,unknown,other,0.0,CHEMBL941,CHEMBL203,IC50,50000.055,6.979303657420888,2,nM,imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,493.6150000000002,4.590320000000004,86.28000000000002,2,7,7,5,37,other_IC50,CHEMBL203_CHEMBL941,,,,,,,,,,,,,,,,,,1,0,0,1
17,C3L-00094,24.7383165786791,12.28,1,CPTAC,CPTAC,13.072192414390653,12.6046447755037,17.767914942942703,10.583122355255949,18.86502063329012,17.99546391996231,unknown,other,0.0,CHEMBL941,CHEMBL203,KD,10000.0,5.0,23,nM,imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,493.6150000000002,4.590320000000004,86.28000000000002,2,7,7,5,37,other_KD,CHEMBL203_CHEMBL941,,,,,,,,,,,,,,,,,,0,1,0,1
18,C3L-00095,24.9813336570897,12.34,1,CPTAC,CPTAC,13.072192414390653,12.6046447755037,17.767914942942703,10.583122355255949,18.86502063329012,17.99546391996231,unknown,other,0.0,CHEMBL1079742,CHEMBL203,IC50,42.5,7.489405350465031,4,nM,erlotinib hydrochloride,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1.Cl,429.90400000000017,3.8269000000000033,74.73000000000002,1,7,10,3,30,other_IC50,CHEMBL203_CHEMBL1079742,,,,,,,,,,,,,,,,,,1,0,1,0
19,C3L-00095,24.9813336570897,12.34,1,CPTAC,CPTAC,13.072192414390653,12.6046447755037,17.767914942942703,10.583122355255949,18.86502063329012,17.99546391996231,unknown,other,0.0,CHEMBL941,CHEMBL203,IC50,50000.055,6.979303657420888,2,nM,imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,493.6150000000002,4.590320000000004,86.28000000000002,2,7,7,5,37,other_IC50,CHEMBL203_CHEMBL941,,,,,,,,,,,,,,,,,,1,0,0,1
20,C3L-00095,24.9813336570897,12.34,1,CPTAC,CPTAC,13.072192414390653,12.6046447755037,17.767914942942703,10.583122355255949,18.86502063329012,17.99546391996231,unknown,other,0.0,CHEMBL941,CHEMBL203,KD,10000.0,5.0,23,nM,imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,493.6150000000002,4.590320000000004,86.28000000000002,2,7,7,5,37,other_KD,CHEMBL203_CHEMBL941,,,,,,,,,,,,,,,,,,0,1,0,1
21,C3L-00140,25.030301878115,12.47,1,CPTAC,CPTAC,13.072192414390653,12.6046447755037,17.530325112873,10.583122355255949,18.44859567402295,17.989460393447978,unknown,other,0.0,CHEMBL1079742,CHEMBL203,IC50,42.5,7.489405350465031,4,nM,erlotinib hydrochloride,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1.Cl,429.90400000000017,3.8269000000000033,74.73000000000002,1,7,10,3,30,other_IC50,CHEMBL203_CHEMBL1079742,,,,,,,,,,,,,,,,,,1,0,1,0
22,C3L-00140,25.030301878115,12.47,1,CPTAC,CPTAC,13.072192414390653,12.6046447755037,17.530325112873,10.583122355255949,18.44859567402295,17.989460393447978,unknown,other,0.0,CHEMBL941,CHEMBL203,IC50,50000.055,6.979303657420888,2,nM,imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,493.6150000000002,4.590320000000004,86.28000000000002,2,7,7,5,37,other_IC50,CHEMBL203_CHEMBL941,,,,,,,,,,,,,,,,,,1,0,0,1
23,C3L-00140,25.030301878115,12.47,1,CPTAC,CPTAC,13.072192414390653,12.6046447755037,17.530325112873,10.583122355255949,18.44859567402295,17.989460393447978,unknown,other,0.0,CHEMBL941,CHEMBL203,KD,10000.0,5.0,23,nM,imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,493.6150000000002,4.590320000000004,86.28000000000002,2,7,7,5,37,other_KD,CHEMBL203_CHEMBL941,,,,,,,,,,,,,,,,,,0,1,0,1
24,C3L-00144,25.5229505272406,13.26,1,CPTAC,CPTAC,13.072192414390653,12.6046447755037,17.767914942942703,10.583122355255949,18.86502063329012,17.99546391996231,unknown,other,0.0,CHEMBL1079742,CHEMBL203,IC50,42.5,7.489405350465031,4,nM,erlotinib hydrochloride,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1.Cl,429.90400000000017,3.8269000000000033,74.73000000000002,1,7,10,3,30,other_IC50,CHEMBL203_CHEMBL1079742,,,,,,,,,,,,,,,,,,1,0,1,0
25,C3L-00144,25.5229505272406,13.26,1,CPTAC,CPTAC,13.072192414390653,12.6046447755037,17.767914942942703,10.583122355255949,18.86502063329012,17.99546391996231,unknown,other,0.0,CHEMBL941,CHEMBL203,IC50,50000.055,6.979303657420888,2,nM,imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,493.6150000000002,4.590320000000004,86.28000000000002,2,7,7,5,37,other_IC50,CHEMBL203_CHEMBL941,,,,,,,,,,,,,,,,,,1,0,0,1
26,C3L-00144,25.5229505272406,13.26,1,CPTAC,CPTAC,13.072192414390653,12.6046447755037,17.767914942942703,10.583122355255949,18.86502063329012,17.99546391996231,unknown,other,0.0,CHEMBL941,CHEMBL203,KD,10000.0,5.0,23,nM,imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,493.6150000000002,4.590320000000004,86.28000000000002,2,7,7,5,37,other_KD,CHEMBL203_CHEMBL941,,,,,,,,,,,,,,,,,,0,1,0,1
27,C3L-00263,25.2077115074721,12.3,1,CPTAC,CPTAC,13.072192414390653,12.6046447755037,17.767914942942703,10.583122355255949,18.78487997569265,18.78487997569265,unknown,other,0.0,CHEMBL1079742,CHEMBL203,IC50,42.5,7.489405350465031,4,nM,erlotinib hydrochloride,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1.Cl,429.90400000000017,3.8269000000000033,74.73000000000002,1,7,10,3,30,other_IC50,CHEMBL203_CHEMBL1079742,,,,,,,,,,,,,,,,,,1,0,1,0
28,C3L-00263,25.2077115074721,12.3,1,CPTAC,CPTAC,13.072192414390653,12.6046447755037,17.767914942942703,10.583122355255949,18.78487997569265,18.78487997569265,unknown,other,0.0,CHEMBL941,CHEMBL203,IC50,50000.055,6.979303657420888,2,nM,imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,493.6150000000002,4.590320000000004,86.28000000000002,2,7,7,5,37,other_IC50,CHEMBL203_CHEMBL941,,,,,,,,,,,,,,,,,,1,0,0,1
29,C3L-00263,25.2077115074721,12.3,1,CPTAC,CPTAC,13.072192414390653,12.6046447755037,17.767914942942703,10.583122355255949,18.78487997569265,18.78487997569265,unknown,other,0.0,CHEMBL941,CHEMBL203,KD,10000.0,5.0,23,nM,imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,493.6150000000002,4.590320000000004,86.28000000000002,2,7,7,5,37,other_KD,CHEMBL203_CHEMBL941,,,,,,,,,,,,,,,,,,0,1,0,1
30,C3L-00279,25.7485218030559,13.15,1,CPTAC,CPTAC,13.072192414390653,12.6046447755037,17.767914942942703,10.583122355255949,18.6326719038641,18.6326719038641,unknown,other,0.0,CHEMBL1079742,CHEMBL203,IC50,42.5,7.489405350465031,4,nM,erlotinib hydrochloride,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1.Cl,429.90400000000017,3.8269000000000033,74.73000000000002,1,7,10,3,30,other_IC50,CHEMBL203_CHEMBL1079742,,,,,,,,,,,,,,,,,,1,0,1,0
31,C3L-00279,25.7485218030559,13.15,1,CPTAC,CPTAC,13.072192414390653,12.6046447755037,17.767914942942703,10.583122355255949,18.6326719038641,18.6326719038641,unknown,other,0.0,CHEMBL941,CHEMBL203,IC50,50000.055,6.979303657420888,2,nM,imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,493.6150000000002,4.590320000000004,86.28000000000002,2,7,7,5,37,other_IC50,CHEMBL203_CHEMBL941,,,,,,,,,,,,,,,,,,1,0,0,1
32,C3L-00279,25.7485218030559,13.15,1,CPTAC,CPTAC,13.072192414390653,12.6046447755037,17.767914942942703,10.583122355255949,18.6326719038641,18.6326719038641,unknown,other,0.0,CHEMBL941,CHEMBL203,KD,10000.0,5.0,23,nM,imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,493.6150000000002,4.590320000000004,86.28000000000002,2,7,7,5,37,other_KD,CHEMBL203_CHEMBL941,,,,,,,,,,,,,,,,,,0,1,0,1
33,C3L-00368,25.8287616618409,13.59,1,CPTAC,CPTAC,13.072192414390653,12.6046447755037,18.3238196875235,10.583122355255949,19.25633326701756,18.790076477270524,unknown,other,0.0,CHEMBL1079742,CHEMBL203,IC50,42.5,7.489405350465031,4,nM,erlotinib hydrochloride,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1.Cl,429.90400000000017,3.8269000000000033,74.73000000000002,1,7,10,3,30,other_IC50,CHEMBL203_CHEMBL1079742,,,,,,,,,,,,,,,,,,1,0,1,0
34,C3L-00368,25.8287616618409,13.59,1,CPTAC,CPTAC,13.072192414390653,12.6046447755037,18.3238196875235,10.583122355255949,19.25633326701756,18.790076477270524,unknown,other,0.0,CHEMBL941,CHEMBL203,IC50,50000.055,6.979303657420888,2,nM,imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,493.6150000000002,4.590320000000004,86.28000000000002,2,7,7,5,37,other_IC50,CHEMBL203_CHEMBL941,,,,,,,,,,,,,,,,,,1,0,0,1
35,C3L-00368,25.8287616618409,13.59,1,CPTAC,CPTAC,13.072192414390653,12.6046447755037,18.3238196875235,10.583122355255949,19.25633326701756,18.790076477270524,unknown,other,0.0,CHEMBL941,CHEMBL203,KD,10000.0,5.0,23,nM,imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,493.6150000000002,4.590320000000004,86.28000000000002,2,7,7,5,37,other_KD,CHEMBL203_CHEMBL941,,,,,,,,,,,,,,,,,,0,1,0,1
36,C3L-00412,24.9982671311309,11.65,1,CPTAC,CPTAC,13.072192414390653,12.6046447755037,17.7189778877548,10.583122355255949,18.86502063329012,17.7189778877548,unknown,other,0.0,CHEMBL1079742,CHEMBL203,IC50,42.5,7.489405350465031,4,nM,erlotinib hydrochloride,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1.Cl,429.90400000000017,3.8269000000000033,74.73000000000002,1,7,10,3,30,other_IC50,CHEMBL203_CHEMBL1079742,,,,,,,,,,,,,,,,,,1,0,1,0
37,C3L-00412,24.9982671311309,11.65,1,CPTAC,CPTAC,13.072192414390653,12.6046447755037,17.7189778877548,10.583122355255949,18.86502063329012,17.7189778877548,unknown,other,0.0,CHEMBL941,CHEMBL203,IC50,50000.055,6.979303657420888,2,nM,imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,493.6150000000002,4.590320000000004,86.28000000000002,2,7,7,5,37,other_IC50,CHEMBL203_CHEMBL941,,,,,,,,,,,,,,,,,,1,0,0,1
38,C3L-00412,24.9982671311309,11.65,1,CPTAC,CPTAC,13.072192414390653,12.6046447755037,17.7189778877548,10.583122355255949,18.86502063329012,17.7189778877548,unknown,other,0.0,CHEMBL941,CHEMBL203,KD,10000.0,5.0,23,nM,imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,493.6150000000002,4.590320000000004,86.28000000000002,2,7,7,5,37,other_KD,CHEMBL203_CHEMBL941,,,,,,,,,,,,,,,,,,0,1,0,1
39,C3L-00422,25.5854863398615,13.28,1,CPTAC,CPTAC,13.072192414390653,12.6046447755037,17.767914942942703,10.583122355255949,18.86502063329012,17.99546391996231,unknown,other,0.0,CHEMBL1079742,CHEMBL203,IC50,42.5,7.489405350465031,4,nM,erlotinib hydrochloride,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1.Cl,429.90400000000017,3.8269000000000033,74.73000000000002,1,7,10,3,30,other_IC50,CHEMBL203_CHEMBL1079742,,,,,,,,,,,,,,,,,,1,0,1,0
40,C3L-00422,25.5854863398615,13.28,1,CPTAC,CPTAC,13.072192414390653,12.6046447755037,17.767914942942703,10.583122355255949,18.86502063329012,17.99546391996231,unknown,other,0.0,CHEMBL941,CHEMBL203,IC50,50000.055,6.979303657420888,2,nM,imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,493.6150000000002,4.590320000000004,86.28000000000002,2,7,7,5,37,other_IC50,CHEMBL203_CHEMBL941,,,,,,,,,,,,,,,,,,1,0,0,1
41,C3L-00422,25.5854863398615,13.28,1,CPTAC,CPTAC,13.072192414390653,12.6046447755037,17.767914942942703,10.583122355255949,18.86502063329012,17.99546391996231,unknown,other,0.0,CHEMBL941,CHEMBL203,KD,10000.0,5.0,23,nM,imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,493.6150000000002,4.590320000000004,86.28000000000002,2,7,7,5,37,other_KD,CHEMBL203_CHEMBL941,,,,,,,,,,,,,,,,,,0,1,0,1
42,C3L-00510,25.1276540810189,13.11,1,CPTAC,CPTAC,13.072192414390653,12.6046447755037,17.767914942942703,10.583122355255949,18.86502063329012,17.99546391996231,unknown,other,0.0,CHEMBL1079742,CHEMBL203,IC50,42.5,7.489405350465031,4,nM,erlotinib hydrochloride,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1.Cl,429.90400000000017,3.8269000000000033,74.73000000000002,1,7,10,3,30,other_IC50,CHEMBL203_CHEMBL1079742,,,,,,,,,,,,,,,,,,1,0,1,0
43,C3L-00510,25.1276540810189,13.11,1,CPTAC,CPTAC,13.072192414390653,12.6046447755037,17.767914942942703,10.583122355255949,18.86502063329012,17.99546391996231,unknown,other,0.0,CHEMBL941,CHEMBL203,IC50,50000.055,6.979303657420888,2,nM,imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,493.6150000000002,4.590320000000004,86.28000000000002,2,7,7,5,37,other_IC50,CHEMBL203_CHEMBL941,,,,,,,,,,,,,,,,,,1,0,0,1
44,C3L-00510,25.1276540810189,13.11,1,CPTAC,CPTAC,13.072192414390653,12.6046447755037,17.767914942942703,10.583122355255949,18.86502063329012,17.99546391996231,unknown,other,0.0,CHEMBL941,CHEMBL203,KD,10000.0,5.0,23,nM,imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,493.6150000000002,4.590320000000004,86.28000000000002,2,7,7,5,37,other_KD,CHEMBL203_CHEMBL941,,,,,,,,,,,,,,,,,,0,1,0,1
45,C3L-00604,25.5789469370576,13.28,1,CPTAC,CPTAC,13.072192414390653,11.70987316125485,17.31265957314855,10.583122355255949,18.46905993551355,15.830530889972316,unknown,other,0.0,CHEMBL1079742,CHEMBL203,IC50,42.5,7.489405350465031,4,nM,erlotinib hydrochloride,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1.Cl,429.90400000000017,3.8269000000000033,74.73000000000002,1,7,10,3,30,other_IC50,CHEMBL203_CHEMBL1079742,,,,,,,,,,,,,,,,,,1,0,1,0
46,C3L-00604,25.5789469370576,13.28,1,CPTAC,CPTAC,13.072192414390653,11.70987316125485,17.31265957314855,10.583122355255949,18.46905993551355,15.830530889972316,unknown,other,0.0,CHEMBL941,CHEMBL203,IC50,50000.055,6.979303657420888,2,nM,imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,493.6150000000002,4.590320000000004,86.28000000000002,2,7,7,5,37,other_IC50,CHEMBL203_CHEMBL941,,,,,,,,,,,,,,,,,,1,0,0,1
