patient_id,EGFR_PROTEIN,EGFR_RNA,EGFR_activity_mean,cohort,batch_domain,phospho_Y1016,phospho_Y1069,phospho_Y1092,phospho_Y1110,phospho_Y1172,EGFR_expression_score
C3N-00203,25.72106321736765,12.44,1.0,CPTAC,CPTAC,,,18.2669136413368,,,18.2669136413368
C3N-00217,25.2643281401387,11.684999999999999,1.0,CPTAC,CPTAC,,,,,19.453806346749047,19.453806346749047
C3N-00223,25.57881768050525,12.825,1.0,CPTAC,CPTAC,,,,,,
C3N-00293,25.288224911564498,12.79,1.0,CPTAC,CPTAC,,,,,,
C3N-00294,26.3535539994835,14.21,1.0,CPTAC,CPTAC,,,18.6429779761161,9.4812042681664,20.1290208219156,16.084401022066032
C3N-00433,25.0550512783881,11.934999999999999,1.0,CPTAC,CPTAC,,,,,,
C3N-00546,25.97021735405285,13.945,1.0,CPTAC,CPTAC,,,18.21680060337085,,19.2092088906635,18.713004747017173
C3N-00547,25.468840980394447,12.635000000000002,1.0,CPTAC,CPTAC,,,,,17.809195319469453,17.809195319469453
C3N-00549,25.246601920775902,10.754999999999999,1.0,CPTAC,CPTAC,,,17.0322744834888,,,17.0322744834888
C3N-00550,25.65549246953235,12.870000000000001,1.0,CPTAC,CPTAC,,,,,18.3067029059481,18.3067029059481
C3N-00551,25.61137931977515,13.105,1.0,CPTAC,CPTAC,,,,,,
C3N-00552,25.7456403305965,12.79,1.0,CPTAC,CPTAC,,,,,,
C3N-00556,25.78731846716275,13.245000000000001,1.0,CPTAC,CPTAC,,,17.767914942942703,10.054346078997515,18.7801193713264,15.534126797755539
C3N-00559,25.88041351412425,13.78,1.0,CPTAC,CPTAC,,,,,,
C3N-00560,24.983420599940253,11.285,1.0,CPTAC,CPTAC,13.07873442258365,,,,,13.07873442258365
C3N-00572,25.59384406607675,12.815,1.0,CPTAC,CPTAC,,,,,,
C3N-00574,26.3624614263111,14.355,1.0,CPTAC,CPTAC,,,18.84717269123845,,,18.84717269123845
C3N-00578,26.332601080180552,13.879999999999999,1.0,CPTAC,CPTAC,,,,,19.19437418164805,19.19437418164805
C3N-00579,25.63659861883155,13.055,1.0,CPTAC,CPTAC,,12.507972192911,17.105680121572448,,19.1669128982862,16.26018840425655
C3N-00580,25.8780016755603,13.135,1.0,CPTAC,CPTAC,,,,,,
C3N-00704,25.826110255848953,13.265,1.0,CPTAC,CPTAC,,,18.21250276632405,11.030956906031399,19.7619580991693,16.335139257174916
C3N-00737,25.16180094167265,12.205,1.0,CPTAC,CPTAC,,,,,18.35861572489695,18.35861572489695
C3N-00738,25.2257348784515,12.344999999999999,1.0,CPTAC,CPTAC,,,17.798194820644248,,,17.798194820644248
C3N-00959,25.24304011787475,12.46,1.0,CPTAC,CPTAC,,,17.61583864730285,,,17.61583864730285
C3N-01016,25.34641606668785,11.945,1.0,CPTAC,CPTAC,,,,,,
C3N-01021,25.566100177603552,12.940000000000001,1.0,CPTAC,CPTAC,,,18.00146744647665,,,18.00146744647665
C3N-01023,25.0708904143514,12.21,1.0,CPTAC,CPTAC,,,,,17.70989100525025,17.70989100525025
C3N-01024,25.18599330638905,12.65,1.0,CPTAC,CPTAC,,,,,18.33931340512735,18.33931340512735
C3N-01030,25.51834065737365,12.68,1.0,CPTAC,CPTAC,,,,,,
C3N-01071,25.2852005535645,11.100000000000001,1.0,CPTAC,CPTAC,,,,,17.817716983425953,17.817716983425953
C3N-01072,25.60337788468345,13.33,1.0,CPTAC,CPTAC,,,,,,
C3N-01074,25.7077462374607,12.21,1.0,CPTAC,CPTAC,,,,,18.4378756012437,18.4378756012437
C3N-01405,25.3307649080879,13.235,1.0,CPTAC,CPTAC,,,,,18.951477337935252,18.951477337935252
C3N-01410,25.442263125270898,12.45,1.0,CPTAC,CPTAC,,,,,18.26706456372495,18.26706456372495
C3N-01413,25.4578311247581,13.114999999999998,1.0,CPTAC,CPTAC,,,,,,
C3N-01414,25.23337524383605,12.32,1.0,CPTAC,CPTAC,,,16.715376315681198,,18.6298796038158,17.6726279597485
C3N-01415,26.3009881535495,13.625,1.0,CPTAC,CPTAC,,,18.465072433143952,,,18.465072433143952
C3N-01416,25.7941020004467,13.21,1.0,CPTAC,CPTAC,,,,,18.67756894987355,18.67756894987355
C3N-01488,25.6928788639933,12.935,1.0,CPTAC,CPTAC,,,,,,
C3N-01489,25.356395109791947,12.8,1.0,CPTAC,CPTAC,,,,,18.72364871818195,18.72364871818195
C3N-01799,25.165225244039853,12.96,1.0,CPTAC,CPTAC,,,,,,
C3N-01823,25.252295631004948,12.55,1.0,CPTAC,CPTAC,,,17.871326806181898,,,17.871326806181898
C3N-01842,24.9959492310859,11.97,1.0,CPTAC,CPTAC,,,,,,
C3N-02000,25.886951857741252,13.305,1.0,CPTAC,CPTAC,,,,,19.413414157555252,19.413414157555252
C3N-02002,25.6788105513113,13.155000000000001,1.0,CPTAC,CPTAC,,,,,19.64149643945085,19.64149643945085
C3N-02003,25.458140285812803,12.625,1.0,CPTAC,CPTAC,,,17.7037170993624,,,17.7037170993624
C3N-02067,26.0736830337528,13.67,1.0,CPTAC,CPTAC,,,18.9136474187717,,19.1964033999606,19.05502540936615
C3N-02087,25.64204412533585,13.065,1.0,CPTAC,CPTAC,,,17.62909662083875,,18.868637966994548,18.24886729391665
C3N-02089,25.3057919251344,12.135,1.0,CPTAC,CPTAC,,,,,,
C3N-02145,25.802638683840648,12.995,1.0,CPTAC,CPTAC,,,,,,
C3N-02149,25.2500941629162,12.035,1.0,CPTAC,CPTAC,,,,,17.682957617408597,17.682957617408597
C3N-02155,26.586699157645597,14.41,1.0,CPTAC,CPTAC,,,,,20.347288878236,20.347288878236
C3N-02158,25.342134400084802,12.905000000000001,1.0,CPTAC,CPTAC,,,17.7050107093324,10.60490272817275,18.214828817933444,15.508247418479533
C3N-02379,26.1596713153259,13.754999999999999,1.0,CPTAC,CPTAC,,,17.5923102799153,,21.5232646834421,19.5577874816787
C3N-02380,25.59934417400575,13.035,1.0,CPTAC,CPTAC,,,,,,
C3N-02421,26.053519621623252,13.91,1.0,CPTAC,CPTAC,,,18.0663454696274,10.583122355255949,19.93441077324065,16.194626199374667
C3N-02422,25.833288538483,12.65,1.0,CPTAC,CPTAC,,,17.9769343169811,,18.1896715319823,18.0833029244817
C3N-02423,25.8234771886579,13.274999999999999,1.0,CPTAC,CPTAC,,,,,,
C3N-02424,25.4290557367853,12.735,1.0,CPTAC,CPTAC,,,,,18.8614032995857,18.8614032995857
C3N-02433,25.34167157111575,13.03,1.0,CPTAC,CPTAC,,,17.7156641031058,,,17.7156641031058
C3N-02529,25.954263081163,13.555,1.0,CPTAC,CPTAC,,,18.740353176561648,,19.63332991049575,19.1868415435287
C3N-02572,26.212184549929297,13.385,1.0,CPTAC,CPTAC,,,,,,
C3N-02582,26.4356352331533,14.04,1.0,CPTAC,CPTAC,,13.11230106168735,18.89778942247105,,19.8277390647715,17.279276516309967
C3N-02586,25.70078351891465,13.725,1.0,CPTAC,CPTAC,,,,,,
C3N-02587,25.5423295731106,12.73,1.0,CPTAC,CPTAC,,,,,,
C3N-02588,25.5452212215237,12.7,1.0,CPTAC,CPTAC,,,,,,
C3N-02729,25.61445376551945,13.355,1.0,CPTAC,CPTAC,,,,,19.5244167289084,19.5244167289084
